requirement_id,normative_statement,source_document,implementation_path,verification_test,validation_experiment,artifact_path,claim_id,status
REQ-001,Instrumentation measurements are deterministic,docs/WP1_INSTRUMENTATION.md,cwc/instrumentation/,experiments/*/tests/test_determinism.py,wp1,artifacts/wp1-release/,CWC-L0-measurement,SUPPORTED
REQ-002,FLOP accounting cross-checks the profiler within 1%,docs/evaluation/MEASUREMENT_UNCERTAINTY_AND_METROLOGY_REPORT.md,cwc/instrumentation/,experiments/wp2_routing_v2/tests/test_flop_crosscheck.py,wp2,artifacts/wp2-routing-v2/,CWC-L1-identifiability,SUPPORTED
REQ-003,Benchmark oracle gap is positive before controller training,docs/methodology/CWC_MASTER_METHODOLOGY.md,experiments/wp2_routing_v2/src/runner_oracle.py,experiments/wp2_routing_v2/tests/test_hard_capacity.py,wp2-oracle-gap,artifacts/wp2-routing-v2/oracle-gap/,CWC-L1-identifiability,SUPPORTED
REQ-004,Symmetric NMI and average-rank AUROC computed correctly,docs/evaluation/MEASUREMENT_UNCERTAINTY_AND_METROLOGY_REPORT.md,experiments/common/metrics.py,experiments/wp2_routing_v2/tests/test_metrics_fix.py,wp2,artifacts/wp2-routing-v2/,CWC-L2-routing-causality,SUPPORTED
REQ-005,Physical sparse dispatch runs only the assigned path,docs/evaluation/CWC_EVALUATION_PLAN.md,experiments/wp2_routing_v2/src/typed_graph.py,experiments/wp2_routing_v2/tests/test_sparse_dispatch.py,wp2,artifacts/wp2-routing-v2/,CWC-L2-routing-causality,SUPPORTED
REQ-006,Surface leakage is audited and matched benchmark built,docs/data/cards/benchmarks/surface-matched-duplicate.md,experiments/wp2_routing_v2/src/surface_matched_task.py,experiments/wp2_routing_v2/tests/test_surface_leakage.py,wp2-surface-matched,artifacts/wp2-routing-v3-surface-matched/,CWC-L2b-route-decision-cost,SUPPORTED
REQ-007,End-to-end routing decision rule uses no privileged target/label capacity,experiments/wp2_routing_v2/PREREGISTRATION_R3C_REINFORCE.md,experiments/wp2_routing_v2/src/runner_r3c_reinforce.py,experiments/wp2_routing_v2/tests/test_surface_matched_routing.py,wp2-r3c-reinforce,artifacts/wp2-routing-v3-r3c-reinforce/,CWC-L2a-e2e-reinforce,SUPPORTED
REQ-008,Adaptive allocation gap equals P(m>K),experiments/wp4_adaptive_depth/PREREGISTRATION.md,experiments/wp4_adaptive_depth/src/substrate.py,experiments/wp4_adaptive_depth/tests/,wp4,artifacts/wp4-adaptive-depth/,CWC-L2p-jensen-gap,SUPPORTED
REQ-009,Every claim links a hypothesis and existing artifacts,docs/methodology/CWC_MASTER_METHODOLOGY.md,claim_registry.json,scripts/doc_status_gate.py,doc-gate,claim_registry.json,ALL,SUPPORTED
REQ-010,Frozen negatives are immutable and checksum-valid,docs/methodology/CWC_MASTER_METHODOLOGY.md,artifacts/history/,Makefile.cwc verify-evidence,all,artifacts/history/,CWC-fractal,SUPPORTED
