cohort,cross_count,expected_action,expected_state,family,legacy_cost,legacy_state,necessary_cost,observed_action,observed_state,pass,permutation_equal,same_count,seed
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104201
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104202
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104203
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104204
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104205
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104206
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104207
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104208
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104209
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104210
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104211
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104212
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104213
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104214
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104215
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104216
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104217
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104218
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104219
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104220
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104221
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104222
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104223
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104224
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104225
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104226
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104227
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104228
PRIMARY,0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,D0,,,0.0,,DECISION_ALREADY_IDENTIFIED_NO_ACQUISITION,True,,2,104229
